Provider,Data Center Name,Address
"Meta, Inc.",DeKalb Data Center,"1510 E Gurler Rd, DeKalb, Illinois 60115, USA"
Microsoft Azure,MNZ01,"11314 Balls Ford Rd building 2, Manassas, Virginia 20109, USA"
QTS Data Centers,Fayetteville Data Center,"1435 Hwy 54 W, Fayetteville, Georgia 30214, USA"
Aligned Data Centers,ORD-02 Chicago,"501 Northwest Avenue, Northlake, IL, USA"
Digital Realty,Dallas DFW28 Data Center,"850 East Collins Boulevard, Richardson, TX, USA"
Stack Infrastructure,DFW01 Dallas Data Center,"6653 Pinecrest Drive, Plano, TX, USA"
Otava,Mid Michigan Data Center,"5225 Exchange Drive, Flint, MI, USA"
Liquid Web,Lansing Data Center,"4210 Creyts Road, Lansing, MI, USA"
11:11 Systems,Philadelphia Data Center,"401 N Broad St, Philadelphia, PA 19108, USA"
123NET,Southfield Data Center W (DC3),"24245 Northwestern Hwy, Southfield, MI, USA"
Flexential,Tampa - West Data Center,"9417 Corporate Lake Dr, Tampa, FL 33634, USA"
SBA Edge,Chicago Data Center,"603 Discovery Drive, West Chicago, IL, USA"
US Signal,Detroit Metro Data Center,"9275 Haggerty Rd, Belleville, MI, USA"
US Signal,Detroit North Data Center,"1035 W Entrance Dr, Auburn Hills, MI 48326, USA"
Equinix,NY6 Secaucus Data Center,"105 Enterprise Avenue South, Secaucus, NJ, USA"
Digital Realty,New York JFK10 Data Center,"111 8th Avenue, New York, NY, USA"
Digital Realty,Dallas DFW14 Data Center,"4849 Alpha Road, Dallas, TX, USA"
CBRE,1001 Brinton Rd Data Center,"1001 Brinton Rd, Pittsburgh, PA, USA"
Digital Realty,Phoenix PHX15 Data Center,"2121 South Price Road, Chandler, AZ, USA"
11:11 Systems,Scottsdale Data Center,"7499 E Paradise Ln, Scottsdale, AZ 85260, USA"
Prime Data Centers,Prime Chicago - 1701 Midway Ct.,"1701 Midway Ct, Elk Grove Village, IL, USA"
EdgeConnex,DET01 Detroit Data Center,"21005 Lahser Road, Southfield, MI, USA"
